"Domaine","Zone","Quartier","Bloc","Ilot","Nom du secteur fonctionnel","Niveau d'urbanisme","Description","Code Secteur Fonctionnel Interministériel","Nom Long","Eléments justifiants la création du secteur","Couleur","Indice de confiance"
"MEF","Prévisions et conseil sur les politiques économiques",,,,"Prévisions et conseil sur les politiques économiques","Zone","Elaboration des prévisions économiques et conseil à l'élaboration de la politique économique et financière de la France dans le cadre national, international et européen et développement international de l'économie française","C433-C96D-50AC-19EB","Interministériel::POS du SI des Services Publics Français::MEF::Prévisions et conseil sur les politiques économiques",,"Bleu",
"MEF","Protection et sécurité de l'espace national européen",,,,"Protection et sécurité de l'espace national européen","Zone","Maintien de la sécurité aux frontières françaises ou européennes à partir de dispositifs de surveillance terrestres, maritimes ou aériens, participation aux luttes contre l'immigration clandestine et le travail illégal, contre la pollution marine","C433-C96E-50AC-1A2A","Interministériel::POS du SI des Services Publics Français::MEF::Protection et sécurité de l'espace national européen",,"Bleu",
"MEF","Recherche et Enseignement Supérieur en matière Economique et Industrielle",,,,"Recherche et Enseignement Supérieur en matière Economique et Industrielle","Zone","Soutien de la recherche industrielle technologique, aide à la diffusion de l'innovation technologique dans les entreprises","C433-C96E-50AC-1A3F","Interministériel::POS du SI des Services Publics Français::MEF::Recherche et Enseignement Supérieur en matière Economique et Industrielle",,"Bleu",
"MEF","Régulation concurrentielle des marchés",,,,"Régulation concurrentielle des marchés","Zone","Lutte contre les pratiques anti-concurrentielles d'entreprises (abus de position dominante ou entente), lutte contre les pratiques restrictives de concurrence entre entreprises (pratiques abusives entre distributeurs et fournisseurs, abus dans les contrats de sous-traitance) et contrôle du respect des règles de concurrence dans les marchés publics","C433-C96E-50AC-1A54","Interministériel::POS du SI des Services Publics Français::MEF::Régulation concurrentielle des marchés",,"Bleu",
"MEF","Régulation Financière",,,,"Régulation Financière","Zone","Régulation du financement de l’économie et des institutions intervenant en matière d’assurance, de banque et d’investissement sur les marchés financiers","C433-C96F-50AC-1A69","Interministériel::POS du SI des Services Publics Français::MEF::Régulation Financière",,"Bleu",
"MEF","Soutien au Tourisme",,,,"Soutien au Tourisme","Zone","Elaboration et mise en œuvre de la réglementation dans le tourisme : valorisation des professions du tourisme et promotion de la destination France à l'étranger, rénvation de l'offre et développement du tourisme social","C433-C96F-50AC-1A7E","Interministériel::POS du SI des Services Publics Français::MEF::Soutien au Tourisme",,"Bleu",
"MEF","Statistiques du commerce extérieur",,,,"Statistiques du commerce extérieur","Zone","Production des statistiques du commerce extérieur français, à partir des échanges de marchandises déclarée via les Déclarations d'imports/exports (DEB concernant l'union européenne et DAU pour les pays tiers) _x000D_
","C433-C96F-50AC-1A93","Interministériel::POS du SI des Services Publics Français::MEF::Statistiques du commerce extérieur",,"Bleu",
"MENESR","Action sociale - santé scolaire",,,,"Action sociale - santé scolaire","Zone","Ensemble des activités concourant à l'accompagnement social des élèves (bourses, …), à l'évaluation du niveau de santé des élèves, à la prévention et la détection de carrences sanitaires","C433-C970-50AC-1AA8","Interministériel::POS du SI des Services Publics Français::MENESR::Action sociale - santé scolaire",,"Bleu",
"MENESR","Enseignement supérieur",,,,"Enseignement supérieur","Zone",,"C433-C970-50AC-1AC1","Interministériel::POS du SI des Services Publics Français::MENESR::Enseignement supérieur",,"Bleu",
"MENESR","Enseignement supérieur","Scolarité et parcours",,,"Scolarité et parcours","Quartier",,"C433-C970-50AC-1AD1","Interministériel::POS du SI des Services Publics Français::MENESR::Enseignement supérieur::Scolarité et parcours",,"Bleu",
"MENESR","Enseignement supérieur","Vie étudiante",,,"Vie étudiante","Quartier",,"C433-C970-50AC-1AE1","Interministériel::POS du SI des Services Publics Français::MENESR::Enseignement supérieur::Vie étudiante",,"Bleu",
"MENESR","Gestion des services à l'élève",,,,"Gestion des services à l'élève","Zone","Ensemble des activités péri-scolaires concourant à l'accueil et à l'intégration des élèves dans les structures scolaires (restauration, écoles ouvertes, …)","C433-C971-50AC-1AF1","Interministériel::POS du SI des Services Publics Français::MENESR::Gestion des services à l'élève",,"Bleu",
"MENESR","Recherche",,,,"Recherche","Zone",,"C433-C971-50AC-1B06","Interministériel::POS du SI des Services Publics Français::MENESR::Recherche",,"Bleu",
"MENESR","Recherche","Recherche et Innovation",,,"Recherche et Innovation","Quartier",,"C433-C971-50AC-1B16","Interministériel::POS du SI des Services Publics Français::MENESR::Recherche::Recherche et Innovation",,"Bleu",
"MENESR","Scolarité de l'élève",,,,"Scolarité de l'élève","Zone","Ensemble des activités concourant à la formation des populations scolarisées : gestion par cycles des populations scolarisées (inscriptions, …), suivi de la scolarité, orientation, validation des acquis et des savoirs","C433-C971-50AC-1B26","Interministériel::POS du SI des Services Publics Français::MENESR::Scolarité de l'élève",,"Bleu",
"MENESR","Scolarité de l'élève","Examens, certification et validation des acquis et des compétences",,,"Examens, certification et validation des acquis et des compétences","Quartier","Ensemble des activités concourant à la conduite des examens et concours, au suivi des certifications et à la validation des acquis et compétences","C433-C972-50AC-1B3B","Interministériel::POS du SI des Services Publics Français::MENESR::Scolarité de l'élève::Examens, certification et validation des acquis et des compétences",,"Bleu",
"MENESR","Scolarité de l'élève","Gestion de la scolarité des élèves du 1er degré Public",,,"Gestion de la scolarité des élèves du 1er degré Public","Quartier","Ensemble des activités concourant à l'inscription et au suivi des élèves dans le cadre du cursus 1er degré","C433-C972-50AC-1B50","Interministériel::POS du SI des Services Publics Français::MENESR::Scolarité de l'élève::Gestion de la scolarité des élèves du 1er degré Public",,"Bleu",
"MENESR","Scolarité de l'élève","Gestion de la scolarité des élèves du 2nd degré Public",,,"Gestion de la scolarité des élèves du 2nd degré Public","Quartier","Ensemble des activités concourant à l'inscription et au suivi des élèves dans le cadre du cursus 2nd degré","C433-C972-50AC-1B65","Interministériel::POS du SI des Services Publics Français::MENESR::Scolarité de l'élève::Gestion de la scolarité des élèves du 2nd degré Public",,"Bleu",
"MENESR","Scolarité de l'élève","Gestion de la scolarité des élèves Enseignement Privé",,,"Gestion de la scolarité des élèves Enseignement Privé","Quartier","Ensemble des activités concourant à l'inscription et au suivi des élèves dans le cadre du cursus 1er degré et 2nd degré de l'enseignement privé","C433-C973-50AC-1B7A","Interministériel::POS du SI des Services Publics Français::MENESR::Scolarité de l'élève::Gestion de la scolarité des élèves Enseignement Privé",,"Bleu",
"MENESR","Numérique Educatif",,,,"Numérique Educatif","Zone","Ensemble des activités concourant à l'élaboration et la diffusion des ressources, services et usages pédagogiques sous forme numérique_x000D_
 _x000D_
Cette zone est dédié aux ressources pédagogiques à destination des élèves (1D et 2D) _x000D_
Les ressources pédagogiques destinés à l'enseignement supérieur sont à positionner, pour l'instant, dans la zone ""Université numérique""  ","C433-C973-50AC-1BA4","Interministériel::POS du SI des Services Publics Français::MENESR::Numérique Educatif",,"Bleu",
"MENESR","Scolarité de l'élève","Orientation et insertion",,,"Orientation et insertion","Quartier","Ensemble des activités concourant à l'organisation, à la conduite et au suivi de l'orientation des élèves afin de permettre leur insertion professionnelle","C433-C973-50AC-1B8F","Interministériel::POS du SI des Services Publics Français::MENESR::Scolarité de l'élève::Orientation et insertion",,"Bleu",
"MTES","Aviation civile",,,,"Aviation civile","Zone","cette zone recouvre les activités de la navigation aérienne et le contrôle aérien, le transport aérien avec la supervision des activités aéronautiques, la gestion de la sécurité de l’aviation civile (aéroports, personnels, aéronefs). Parmi les objets métiers principaux figurent les constructeurs, les aéronefs, les personnels navigants, les personnels habilités, les matériels et enfin les aéroports.","C433-C974-50AC-1BC9","Interministériel::POS du SI des Services Publics Français::MTES::Aviation civile",,"Bleu",
"MENESR","Université numérique",,,,"Université numérique","Zone",,"C433-C974-50AC-1BB9","Interministériel::POS du SI des Services Publics Français::MENESR::Université numérique",,"Bleu",
"MTES","Développement durable",,,,"Développement durable","Zone","cette zone recouvre les activités de collecte, d’exploitation, d’analyse et de valorisation des données dans les secteurs d’activités du ministère (services de transports, environnement, énergie, aménagement du territoire, logement & permis de construire). Parmi les objets métiers principaux, figurent les producteurs et distributeurs d’énergie, les associations environnementales, les espaces protégés, les logements sociaux, les immatriculations des véhicules, les bailleurs.","C433-C975-50AC-1BE2","Interministériel::POS du SI des Services Publics Français::MTES::Développement durable",,"Bleu",
"MTES","Eau et Biodiversité",,,,"Eau et Biodiversité","Zone","cette zone recouvre les activités liées à la biodiversité, au littoral, aux milieux marins et à l’eau (connaissance des ressources, police de l’eau,...). Parmi les objets métiers principaux figurent notamment les espèces, les zones répertoriées (Natura 2000, zones humides, …), les données du patrimoine géologique.","C433-C975-50AC-1BF7","Interministériel::POS du SI des Services Publics Français::MTES::Eau et Biodiversité",,"Bleu",
"MTES","Energie et Climat",,,,"Energie et Climat","Zone","cette zone recouvre les activités liées à la gestion des approvisionnements en énergies fossiles, aux prix pétroliers, à l’exploitation et la production des hydrocarbures, au développement des énergies renouvelables, au climat et à la qualité de l’air, à la réception des véhicules. Parmi les objets métiers principaux figurent notamment les véhicules.","C433-C975-50AC-1C0C","Interministériel::POS du SI des Services Publics Français::MTES::Energie et Climat",,"Bleu",
"MTES","Habitat, Urbanisme et Paysages",,,,"Habitat, Urbanisme et Paysages","Zone","cette zone recouvre les activités liées à la politique de l’habitat, du logement et de la qualité de la construction, celles liées à l’aménagement et à l’application du droit des sols._x000D_
Parmi les objets métiers principaux figurent notamment les logements, les bailleurs, les diagnostiqueurs.","C433-C976-50AC-1C21","Interministériel::POS du SI des Services Publics Français::MTES::Habitat, Urbanisme et Paysages",,"Bleu",
"MTES","Infrastructure, Transports et Mer",,,,"Infrastructure, Transports et Mer","Zone","cette zone recouvre les activités liées à l’exploitation et l’information routières, la connaissance du patrimoine routier, l’ingénierie et la gestion des projets nouveaux d’infrastructures  les transports routiers, les transports fluviaux, le transport maritime, la sûreté des ports, la sécurité maritime la plaisance maritime, la navigation fluviale, la gestion des gens de mer, l’observation de la délinquance dans les transports publics terrestres. Parmi les objets métiers principaux figurent les professionnels de la mer, les  bateaux, les réseaux routiers interurbains, les données du patrimoine routier (ouvrages d’art, chaussées, équipements, trafic, …), les installations portuaires, les équipements de signalisation maritime.","C433-C976-50AC-1C36","Interministériel::POS du SI des Services Publics Français::MTES::Infrastructure, Transports et Mer",,"Bleu",
"MAA","Pêche et Aquaculture",,,,"Pêche et Aquaculture","Zone","cette zone recouvre les activités liées à la surveillance des pêches (gestion des quotas et journaux de bord électroniques), à l’autorisation et au contrôle de l’aquaculture maritime et continentale. aux aides aux entreprises exerçant ces activités. Parmi les objets métiers principaux figurent notamment les navires, les entreprises.","C433-C976-50AC-1C4B","Interministériel::POS du SI des Services Publics Français::MAA::Pêche et Aquaculture",,"Bleu",
"MTES","Préventions des risques",,,,"Préventions des risques","Zone","cette zone recouvre les activités liées à la prévention des risques naturels et hydrauliques, des risques technologiques, des nuisances et à l’évaluation de la qualité de l’environnement. Parmi les objets métiers principaux figurent les ouvrages hydrauliques et les barrages, les événements naturels (description et évaluation), les sites à risques, les activités à risques.","C433-C977-50AC-1C60","Interministériel::POS du SI des Services Publics Français::MTES::Préventions des risques",,"Bleu",
"MTES","Ville",,,,"Ville","Zone",,"C433-C977-50AC-1C75","Interministériel::POS du SI des Services Publics Français::MTES::Ville",,"Bleu",
"MI","Libertés publiques",,,,"Libertés publiques","Zone","Regroupe plusieurs activités :_x000D_
- Préparation des textes relatifs aux libertés publiques et individuelles (étrangers, nationalité, titres d'identité et de voyage, casinos et cercles de jeux)._x000D_
- Protection des données (correspondant CNIL)._x000D_
- Application et suivi de la législation relative à la vie associative._x000D_
- Gestion des contentieux du MI.","C433-C979-50AC-1CB1","Interministériel::POS du SI des Services Publics Français::MI::Libertés publiques",,"Bleu",
"MJ","Accès au Droit et à la Justice",,,,"Accès au Droit et à la Justice","Zone","Cette zone regroupe l'ensemble des fonctionnalités destinées à assurer l'accès au droit et à la justice : _x000D_
- Gestion de l'Aide Juridictionnelle ;_x000D_
- Animation du réseau des structures d'Accès au Droit et à la Justice ;_x000D_
- Promotion des droits des victimes ;","C433-C97A-50AC-1CEA","Interministériel::POS du SI des Services Publics Français::MJ::Accès au Droit et à la Justice",,"Bleu",
"MJ","Justice Civile, Sociale et Commerciale",,,,"Justice Civile, Sociale et Commerciale","Zone","Cette zone regroupe l'ensemble des fonctionnalités liés àl'enregistrement et au traitement des affaires civiles par l'ensemble des juridictions statuant en matière civile, sociale ou commerciale.","C433-C97A-50AC-1D03","Interministériel::POS du SI des Services Publics Français::MJ::Justice Civile, Sociale et Commerciale",,"Bleu",
"MJ","Cassation",,,,"Cassation","Zone","Cette zone regroupe l'ensemble des fonctionnalités nécessaires aux activités mises en œuvre par la cour de cassation : _x000D_
- Application des règles de droit;_x000D_
- Arbitrage en recours sur certains domaines juridiques;_x000D_
- Fonctionnement d'une juridiction exceptionnelle;_x000D_
- Rendu des avis;","C433-C97B-50AC-1D2D","Interministériel::POS du SI des Services Publics Français::MJ::Cassation",,"Bleu",
"MJ","Gestion des personnes mises sous main de justice",,,,"Gestion des personnes mises sous main de justice","Zone","Cette zone regroupe l'ensemble des fonctionnalités destinées à la prise en charge des personnes (adultes ou mineures) placées sous main de justice et par les services de l'Administration Pénitentiaire ou de la Protection judiciaire de la Jeunesse dans le cadre de l'exécution d'une décision de justice (peines, mesure d'applications des peines, mesures restrictives de libertés…).","C433-C97B-50AC-1D57","Interministériel::POS du SI des Services Publics Français::MJ::Gestion des personnes mises sous main de justice",,"Bleu",
"MJ","Justice Pénale",,,,"Justice Pénale","Zone","Cette zone regroupe l'ensemble des fonctionnalités nécessaires aux juridictions statuant en matière pénale pour : _x000D_
- l'enregistrement des affaires pénales et des actes ou évènements de procédure associés_x000D_
- la gestion des scellés et objets de gardiennage associés aux affaires_x000D_
- la gestion des interceptions judiciaires_x000D_
- la sélection des jurés d'assises","C433-C97B-50AC-1D18","Interministériel::POS du SI des Services Publics Français::MJ::Justice Pénale",,"Bleu",
"Fonctions Transverses Interministérielles","Archivage",,,,"Archivage","Zone","L’archivage électronique permet l'enregistrement, le stockage et la restitution des documents numériques (bureautique, audio, vidéo, image, plan, bases de données, etc.) que l’administration souhaite conserver à des fins d’archivage courant, intermédiaire ou définitif._x000D_
Comparativement à une GED qui permet la modification, l'effacement et le versionnement des documents par les utilisateurs, l’archivage électronique garantit l’intégrité des données et veille à ce que rien ne soit modifié selon des règles d'élimination ou d'effacement. Ces fonctionnalités ont tout leur intérêt pour assurer le ""dépôt de documents numérique à valeur probante"" (archivage courant et intermédiaire), dès lors que les documents sont dans leur forme définitive._x000D_
L’archivage électronique offre, pour de très gros volumes de documents numériques, des fonctionnalités :_x000D_
•       d’indexation,_x000D_
•       de gestion des métadonnées,_x000D_
•       de gestion des infrastructures de stockage,_x000D_
•       de transformation des fichiers,_x000D_
•       de recherche et de consultation,_x000D_
•       et de gestion sécurisée de l’ensemble du cycle vie des archives._x000D_
•       d’accès aux services par des interfaces applicatives (API) permettant le versement de documents, la recherche sur les méta-données et les journaux, l’accès aux documents.","C433-C97C-50AC-1D6C","Interministériel::POS du SI des Services Publics Français::Fonctions Transverses Interministérielles::Archivage",,"Bleu",
"MASSDF,MTEFPDS,MVJS","Emploi et Formation Professionnelle","Accès et retour à l'emploi",,,"Accès et retour à l'emploi","Quartier","Faciliter l’accès ou le retour à l’emploi des demandeurs d’emploi en général et, au sein de cette catégorie, des publics rencontrant des difficultés particulières tels que les jeunes sortis du système éducatif sans qualification, les travailleurs handicapés, les bénéficiaires du revenu de solidarité active ou les seniors de plus de 50 ans","8D09-8D9C-5102-1F2E","Interministériel::POS du SI des Services Publics Français::MASSDF,MTEFPDS,MVJS::Emploi et Formation Professionnelle::Accès et retour à l'emploi",,"Bleu",
"MASSDF,MTEFPDS,MVJS","Emploi et Formation Professionnelle","Formation, Accès à la qualification et Contrôle",,,"Formation, Accès à la qualification et Contrôle","Quartier","Développer la formation tout au long de la vie professionnelle, la professionnalisation et la sécurisation des parcours professionnels _x000D_
","8D09-8D9D-5102-1F78","Interministériel::POS du SI des Services Publics Français::MASSDF,MTEFPDS,MVJS::Emploi et Formation Professionnelle::Formation, Accès à la qualification et Contrôle",,"Bleu",
"MASSDF,MTEFPDS,MVJS","Emploi et Formation Professionnelle","Mutation de l'emploi et développement de l'activité",,,"Mutation de l'emploi et développement de l'activité","Quartier","Se doter d’outils de veille, partager ses analyses avec les acteurs concernés au niveau local ou national et mener des actions spécifiques en direction des entreprises et des salariés menacés dans leur activité ou venant de perdre leur emploi","8D09-8D9D-5102-1F53","Interministériel::POS du SI des Services Publics Français::MASSDF,MTEFPDS,MVJS::Emploi et Formation Professionnelle::Mutation de l'emploi et développement de l'activité",,"Bleu",
"Ressources & Support","Juridique","Gestion des biens immatériels",,,"Gestion des biens immatériels","Quartier","Gestion des biens immatériels de l'Etat : gestion des droits d'auteurs, des brevets, des marques, des droits régaliens et assimilés, etc.","E525-E570-5108-2A06","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Juridique::Gestion des biens immatériels",,"Vert",
"Données Transverses","Nomenclatures","Prestations sociales",,,"Prestations sociales","Quartier","Données transverses de nomenclature relative à aux prestations sociales","6B01-6B49-5134-0BF8","Interministériel::POS du SI des Services Publics Français::Données Transverses::Nomenclatures::Prestations sociales",,,
"Données Transverses","Partenaires",,,,"Partenaires","Zone","Identification et description partagée des Tiers de l'Etat (notaires, greffes, auxiliaires de justices, etc.)","6B01-6B4A-5134-0C1D","Interministériel::POS du SI des Services Publics Français::Données Transverses::Partenaires",,,
"Données Transverses","Usagers","Prestations servies",,,"Prestations servies","Quartier","Données sociales transverses relatives aux usagers","6B01-6B4A-5134-0C42","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Prestations servies",,,
"Données Transverses","Usagers","Prestations servies","Prestations versées",,"Prestations versées","Bloc","Données transverses relatives aux prestations sociales perçues par une personnes tout au long de sa vie._x000D_
Pour chaque bénéficiaire, les données considérées sont les suivantes (non exhaustif) :_x000D_
- Description de la prestation (nature, date d’ouverture de droit, état du service, date d’effet de l’état, …)_x000D_
- Rôle du bénéficiaire (ayant-droit, ouvrant-droit, …)_x000D_
- Adresse déclarée pour l’ouverture de droit ou le service de la prestation (date effet, …).","6B01-6B4B-5134-0C8C","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Prestations servies::Prestations versées",,,
"Données Transverses","Usagers","Prestations servies","Rattachement & affiliation",,"Rattachement & affiliation","Bloc","Données transverses relatives aux régimes d'affiliation d'une personne physique, aux risques couverts et ses évolutions dans le temps._x000D_
Les données considérées sont les suivantes :_x000D_
- NIR (N° de Sécurité Sociale)_x000D_
- Risque ou branche SS (maladie, AT-MP, vieillesse, famille, …)_x000D_
- Régime d’affiliation_x000D_
- Caisse de rattachement (n° d’identification RFO)_x000D_
- Date de début de rattachement (date d’effet)_x000D_
- Date de fin de rattachement _x000D_
- Motif de fin de rattachement (décès, mutation, ..)","6B01-6B4B-5134-0CB1","Interministériel::POS du SI des Services Publics Français::Données Transverses::Usagers::Prestations servies::Rattachement & affiliation",,,
"Echanges & Relations","Relation avec les Agents","Collaboration",,,"Collaboration","Quartier","Ensemble de fonctionnalité de collaboration et de coopération entre agent : téléphonie, messagerie, fonctions collaboratives, fonctions de partages de documents, d'informations, etc.","6B01-6B4F-5134-0D63","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation avec les Agents::Collaboration",,"Jaune",
"Echanges & Relations","Relation avec les Agents","Communication",,,"Communication","Quartier","Gestion de la communication et d'information à destination des agents.","6B01-6B4F-5134-0D83","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation avec les Agents::Communication",,"Jaune",
"Echanges & Relations","Relation avec les Agents","Espace agent",,,"Espace agent","Quartier","Gestion de l'espace (virtuel ou réel) de l'agent, permettant de gérer d'une part ses informations personnelles, et d'autres part les informations liées à son travail. Il s'agit d'un espace personnel permettant à l'agent, mais aussi aux agents en charge de la relation avec l'usager, d'avoir une vision 360 des autorisations, et des droits dont il bénificie._x000D_
_x000D_
Permet de gérer les fonctionnalités RH dédiées aux agents quelque soit leur rôle dans l’organisation :_x000D_
•   Demande et suivi de congés, formation, modalité de service_x000D_
•   Consultation et mise à jour des données individuelles _x000D_
•   Consultation du bulletin de paie_x000D_
•   Consultation de pièces justificatives_x000D_
•   Consultation des données retraites","6B01-6B4F-5134-0DA3","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation avec les Agents::Espace agent",,"Jaune",
"Echanges & Relations","Relation avec les Agents","Gestion de la qualité des services",,,"Gestion de la qualité des services","Quartier"," Gestion de la relation et des échanges entre les agents et les services compétents en matière d'incidents ou de problèmes rencontrés par l'agent concernant l'usage de fonctionnalité du SI de l'Etat (erreur, performance, sécurité, etc.). Suivi de la résolution de ces problèmes.","6B01-6B4F-5134-0DC3","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation avec les Agents::Gestion de la qualité des services",,"Jaune",
"Echanges & Relations","Gestion et contrôle des accès","Autorisation",,,"Autorisation","Quartier","Fonctionnalité d'autorisation des utilisateurs du système d'information de l'Etat : politique d'accès, collecte d'information nécessaire au calcul des autorisation (habilitation, droits, profils…), contrôle d'accès, et analyse et suivi dans le temps du contrôle et des accès.","6B01-6B50-5134-0E0B","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion et contrôle des accès::Autorisation",,"Jaune",
"Echanges & Relations","Gestion et contrôle des accès","Identification et Authentification",,,"Identification et Authentification","Quartier","Fonctionnalité d'identification et d'authentification de tout utilisateur du système d'information de l'Etat : usager, agent ou système. Cet ensemble fonctionnel comprend : les mécanismes de fédération d'identité, de gestion de session et d'authentification au sens propre, à savoir la vérification de l'identité d'un utilisateurs ou système qui souhaite accéder à une ressource du SI de l'Etat, pour en valider l'authenticité.","6B01-6B50-5134-0DEB","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion et contrôle des accès::Identification et Authentification",,"Jaune",
"Echanges & Relations","Gestion et contrôle des accès","Traçabilité et gestion de la preuve",,,"Traçabilité et gestion de la preuve","Quartier","Ensemble des fonctionnalités de gestion des traces d'accès, par un utilisateur ou un système, à tout ou partie du SI de l'Etat, et de gestion de la preuve.","6B01-6B51-5134-0E2B","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion et contrôle des accès::Traçabilité et gestion de la preuve",,"Jaune",
"Echanges & Relations","Relation avec les Autorités Administratives","Collaboration",,,"Collaboration","Quartier","Gestion des échanges les administrations de l'Etat et les collectivités territoriales","6B01-6B53-5134-0F0B","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation avec les Autorités Administratives::Collaboration",,"Jaune",
"Echanges & Relations","Relation avec les Autorités Administratives","Communication",,,"Communication","Quartier","Gestion de la communication et d'information à destination des collectivités territoriales.","6B01-6B53-5134-0F2B","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation avec les Autorités Administratives::Communication",,"Jaune",
"Echanges & Relations","Relation avec les Autorités Administratives","Gestion de la qualité des services",,,"Gestion de la qualité des services","Quartier"," Gestion de la relation et des échanges entre les collectivités territoriales et les autorités administratives compétentes en matière d'incidents ou de problèmes rencontrés par une collectivité concernant un usager, ou plus globalement l'usage de fonctionnalité du SI de l'Etat (erreur, performance, sécurité, etc.). Suivi de la résolution de ces problèmes.","6B01-6B53-5134-0F4B","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation avec les Autorités Administratives::Gestion de la qualité des services",,"Jaune",
"Echanges & Relations","Relation Fournisseurs","Collaboration",,,"Collaboration","Quartier","Gestion des échanges les autorités administratives et les fournisseurs.","6B01-6B54-5134-0FA3","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation Fournisseurs::Collaboration",,"Jaune",
"Echanges & Relations","Relation Fournisseurs","Espace fournisseur",,,"Espace fournisseur","Quartier","Gestion de l'espace (virtuel ou réel) du fournisseur, dans lequel il pourra gérer ses pièces justificatives, et suivre de toutes propositions, marchés, commandes, travaux, factures, et démarches. Il s'agit d'un espace permettant au fournisseur ou l'un de ses représentants, mais aussi aux agents en charge de la relation avec le fournisseur, d'avoir une vision 360 des prestations et services dont il bénificie et des rétributions ou paiements que les autorités administratives lui doivent ou qu'elle doit aux autorités administratives. _x000D_
","6B01-6B54-5134-0FC3","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation Fournisseurs::Espace fournisseur",,"Jaune",
"Echanges & Relations","Relation Partenaires","Collaboration",,,"Collaboration","Quartier","Gestion des échanges entre les autorités administratives et les partenaires de l'Etat.","6B01-6B55-5134-1024","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation Partenaires::Collaboration",,"Jaune",
"Echanges & Relations","Relation Partenaires",,,,"Relation Partenaires","Zone","ensemble des fonctionnalités relatives aux échanges avec les partenaires des services publics.","6B01-6B55-5134-0FFF","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation Partenaires",,"Jaune",
"Echanges & Relations","Relation Partenaires","Communication",,,"Communication","Quartier","Gestion de la communication et d'information à destination des Partenaires.","6B01-6B56-5134-1044","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation Partenaires::Communication",,"Jaune",
"Echanges & Relations","Relation Partenaires","Gestion de la qualité des services",,,"Gestion de la qualité des services","Quartier"," Gestion de la relation et des échanges entre les Partenaires de l'Etat et les autorités administratives compétentes en matière d'incidents ou de problèmes rencontrés par un partenaire concernant un usager, ou plus globalement concernant l'usage de fonctionnalité du SI de l'Etat (erreur, performance, sécurité, etc.). Suivi de la résolution de ces problèmes.","6B01-6B56-5134-1064","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation Partenaires::Gestion de la qualité des services",,"Jaune",
"Echanges & Relations","Gestion de la relation avec les Usagers","Collaboration",,,"Collaboration","Quartier","Gestion des démarches, des échanges et des réclamations entre les usagers Particuliers et les autorités administratives.","6B01-6B57-5134-10B5","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion de la relation avec les Usagers::Collaboration",,"Jaune",
"Echanges & Relations","Gestion de la relation avec les Usagers","Communication, écoute & conseil",,,"Communication, écoute & conseil","Quartier","Gestion de la communication et de l'information ciblée vers les usagers particuliers","6B01-6B57-5134-10D5","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion de la relation avec les Usagers::Communication, écoute & conseil",,"Jaune",
"Echanges & Relations","Gestion de la relation avec les Usagers","Espace usager particulier",,,"Espace usager particulier","Quartier","Gestion de l'espace (virtuel ou réel) de usager Particulier, de ses pièces justificatives, du suivi de toutes ses prestations et démarches. Il s'agit d'un espace permettant à l'usager Particulier, ou l'un de ses représentants , mais aussi aux agents en charge de la relation avec l'usager, d'avoir une vision 360 des droits, des prestations et services dont il bénificie et des rétributions ou paiements que les autorités administratives lui doivent ou qu'il doit aux autorités administratives.  _x000D_
","6B01-6B57-5134-10F5","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion de la relation avec les Usagers::Espace usager particulier",,"Jaune",
"Echanges & Relations","Gestion de la relation avec les Usagers","Relations & échanges Entreprises","Collaboration",,"Collaboration","Quartier","Gestion des démarches, des échanges et des réclamations entre les usagers Entreprises et les autorités administratives.","6B01-6B58-5134-113D","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion de la relation avec les Usagers::Relations & échanges Entreprises::Collaboration",,"Jaune",
"Echanges & Relations","Gestion de la relation avec les Usagers","Communication, écoute & conseil-1",,,"Communication, écoute & conseil-1","Quartier","Gestion de la communication et de l'information ciblée vers les usagers Entreprises","6B01-6B58-5134-115D","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion de la relation avec les Usagers::Communication, écoute & conseil-1",,"Jaune",
